x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
24493.0,26594.0,26572.0,25789.0,24974.0,24128.0,23102.0,22175.0,21261.0,20441.0,19864.0,19619.0,19705.0,20207.0,20807.0,20743.0,20022.0,19131.0,18408.0,18019.0,18003.0,18395.0,19183.0,20533.0
22840.0,25138.0,25324.0,24998.0,24425.0,23587.0,22335.0,21156.0,20480.0,19810.0,19399.0,19287.0,19494.0,20065.0,20822.0,21190.0,21074.0,20700.0,20482.0,20386.0,20440.0,20786.0,21322.0,22282.0
23956.0,25972.0,26052.0,25476.0,24670.0,23751.0,22458.0,21257.0,20410.0,19670.0,19220.0,19080.0,19258.0,19713.0,20317.0,20642.0,20596.0,20010.0,19522.0,19203.0,19126.0,19476.0,20104.0,21378.0
23495.0,25802.0,25965.0,25466.0,24699.0,23634.0,22248.0,20965.0,20125.0,19640.0,19393.0,19524.0,20276.0,21760.0,23619.0,24581.0,24664.0,23994.0,23597.0,23411.0,23314.0,23291.0,23463.0,24129.0
25602.0,27479.0,27515.0,26823.0,25854.0,24665.0,23208.0,21916.0,21072.0,20455.0,20119.0,20203.0,20942.0,22381.0,24229.0,25375.0,25163.0,24074.0,22919.0,22118.0,21856.0,22185.0,22983.0,24172.0
25659.0,27578.0,27697.0,27112.0,26237.0,25100.0,23614.0,22133.0,21217.0,20671.0,20403.0,20497.0,21265.0,22839.0,24756.0,25938.0,25955.0,25131.0,24307.0,23819.0,23826.0,23924.0,24047.0,24479.0
25856.0,27736.0,27785.0,27073.0,26235.0,25106.0,23541.0,22115.0,21178.0,20527.0,20279.0,20524.0,21256.0,22751.0,24667.0,25816.0,25877.0,25179.0,24261.0,23631.0,23197.0,22950.0,23319.0,24286.0
25813.0,27724.0,27814.0,27190.0,26409.0,25274.0,23755.0,22330.0,21351.0,20749.0,20416.0,20464.0,21141.0,22624.0,24513.0,25714.0,25786.0,25005.0,24088.0,23372.0,22892.0,22744.0,22948.0,23740.0
25249.0,27015.0,27193.0,26634.0,25920.0,24927.0,23561.0,22184.0,21217.0,20527.0,20228.0,20133.0,20467.0,21283.0,22303.0,22802.0,22519.0,21828.0,20953.0,20209.0,19940.0,19962.0,20549.0,21843.0
23661.0,25702.0,26022.0,25613.0,25026.0,24079.0,22841.0,21671.0,20878.0,20224.0,19851.0,19751.0,19934.0,20445.0,21155.0,21404.0,21101.0,20488.0,19922.0,19690.0,19734.0,19730.0,20334.0,21620.0
23529.0,25675.0,25872.0,25380.0,24726.0,23773.0,22389.0,21132.0,20319.0,19690.0,19674.0,19908.0,20840.0,22532.0,24683.0,26003.0,25794.0,24641.0,23562.0,22747.0,22240.0,22250.0,22833.0,23920.0
25504.0,27510.0,27581.0,26886.0,26004.0,24894.0,23370.0,22045.0,21217.0,20636.0,20367.0,20467.0,21237.0,22808.0,24818.0,25867.0,25963.0,25475.0,24894.0,24414.0,24118.0,24119.0,24490.0,25105.0
26003.0,27664.0,27544.0,26791.0,25850.0,24663.0,23177.0,21851.0,21070.0,20459.0,20193.0,20313.0,21028.0,22553.0,24430.0,25429.0,25255.0,24133.0,23051.0,22584.0,22239.0,22283.0,22849.0,23727.0
25178.0,26905.0,26982.0,26317.0,25524.0,24313.0,22380.0,20968.0,20597.0,20082.0,19865.0,19978.0,20636.0,22113.0,23984.0,24947.0,24665.0,23614.0,22725.0,22435.0,22447.0,22832.0,23227.0,24058.0
25415.0,26941.0,26954.0,26168.0,25209.0,24053.0,22641.0,21428.0,20547.0,19953.0,19722.0,19773.0,20404.0,21782.0,23505.0,24430.0,24370.0,23766.0,23213.0,22703.0,22559.0,23098.0,23759.0,24672.0
25795.0,26924.0,26700.0,25755.0,24786.0,23764.0,22525.0,21304.0,20411.0,19873.0,19554.0,19418.0,19648.0,20216.0,21005.0,21290.0,21187.0,20473.0,19819.0,19201.0,19286.0,19904.0,20648.0,21807.0
23482.0,25105.0,25314.0,24612.0,23812.0,22991.0,21854.0,20714.0,19899.0,19259.0,18838.0,18630.0,18776.0,19212.0,19772.0,19940.0,19768.0,19251.0,18803.0,18690.0,18892.0,19447.0,20358.0,21414.0
23057.0,24783.0,25027.0,24343.0,23466.0,22532.0,21459.0,20561.0,19984.0,19461.0,19197.0,19240.0,19786.0,20879.0,22086.0,22480.0,22172.0,21447.0,21124.0,20887.0,21013.0,21384.0,21988.0,23105.0
24728.0,26489.0,26654.0,25760.0,24770.0,23561.0,22095.0,20850.0,20053.0,19411.0,19083.0,19146.0,19812.0,21206.0,22979.0,24015.0,23970.0,23089.0,22515.0,22448.0,22379.0,22491.0,22987.0,23778.0
25044.0,26584.0,26720.0,25955.0,24967.0,23775.0,22290.0,21086.0,20251.0,19651.0,19357.0,19472.0,20180.0,21682.0,23572.0,24565.0,24217.0,23262.0,22843.0,22454.0,22183.0,22264.0,22712.0,23526.0
24949.0,26719.0,26960.0,26207.0,25267.0,24095.0,22670.0,21391.0,20502.0,19891.0,19617.0,19738.0,20497.0,21960.0,23791.0,24701.0,24370.0,23380.0,22537.0,21979.0,21939.0,22273.0,22774.0,23545.0
25021.0,26844.0,27174.0,26435.0,25543.0,24448.0,22956.0,21677.0,20791.0,20159.0,19862.0,19904.0,20562.0,21982.0,23719.0,24802.0,25078.0,24729.0,24368.0,24171.0,24006.0,23982.0,23926.0,24460.0
25476.0,27034.0,27126.0,26482.0,25681.0,24587.0,23286.0,22077.0,21181.0,20490.0,20128.0,19960.0,20205.0,20896.0,21789.0,22410.0,22665.0,22484.0,22242.0,21974.0,21759.0,21859.0,22187.0,22903.0
24240.0,26131.0,26647.0,26132.0,25444.0,24492.0,23146.0,21936.0,21044.0,20327.0,19942.0,19820.0,19986.0,20500.0,21229.0,21668.0,21773.0,21499.0,21185.0,21231.0,21444.0,21616.0,21932.0,22832.0
24469.0,26324.0,26635.0,26115.0,25305.0,24195.0,22708.0,21353.0,20229.0,19761.0,19673.0,20034.0,20804.0,22270.0,24361.0,25821.0,26270.0,25846.0,24923.0,24409.0,24144.0,23953.0,24414.0,25273.0
26538.0,28655.0,29163.0,28435.0,27480.0,26164.0,24456.0,22960.0,22019.0,21436.0,21205.0,21367.0,22213.0,23921.0,26108.0,27089.0,26591.0,25557.0,24744.0,24258.0,24031.0,24188.0,24430.0,24942.0
26401.0,28544.0,29046.0,28362.0,27289.0,25819.0,24007.0,22527.0,21573.0,20911.0,20566.0,20535.0,21219.0,22667.0,24653.0,25859.0,26050.0,25726.0,25383.0,25308.0,25238.0,25042.0,24954.0,25273.0
26405.0,27894.0,28110.0,27340.0,26322.0,24988.0,23246.0,21800.0,20918.0,20448.0,20388.0,20494.0,21208.0,22677.0,24384.0,25643.0,26112.0,25639.0,24954.0,24350.0,24141.0,24096.0,24276.0,24770.0
25754.0,27288.0,27603.0,26966.0,26066.0,25070.0,23462.0,22028.0,21179.0,20525.0,20106.0,20072.0,20585.0,22120.0,24090.0,25226.0,25383.0,24882.0,24543.0,24675.0,24606.0,23905.0,23736.0,24041.0
25001.0,26722.0,27273.0,26700.0,25978.0,25017.0,23634.0,22477.0,21765.0,21054.0,20608.0,20493.0,20725.0,21382.0,22029.0,22435.0,22035.0,21066.0,19819.0,18797.0,18339.0,18351.0,19137.0,20526.0
22315.0,24435.0,25377.0,25021.0,24446.0,23626.0,22545.0,21494.0,20414.0,19772.0,19380.0,19214.0,19306.0,19772.0,20367.0,20540.0,20565.0,19818.0,18868.0,18411.0,18566.0,19179.0,20100.0,21123.0
22654.0,24327.0,24770.0,24267.0,23503.0,22578.0,21388.0,20302.0,19627.0,19122.0,18896.0,19038.0,19791.0,21340.0,23200.0,24266.0,24763.0,24109.0,23109.0,22818.0,22808.0,22640.0,22728.0,23320.0
24284.0,26004.0,26518.0,25799.0,24834.0,23601.0,22064.0,20741.0,20086.0,19627.0,19337.0,19388.0,19990.0,21236.0,23070.0,24004.0,23979.0,23452.0,22892.0,22343.0,22038.0,21915.0,22267.0,22907.0
24012.0,25697.0,26408.0,25655.0,24729.0,23606.0,22195.0,20990.0,20618.0,20114.0,19933.0,20016.0,20655.0,22027.0,23659.0,24448.0,24213.0,23687.0,23011.0,22228.0,21788.0,21635.0,22240.0,22999.0
24092.0,26096.0,26804.0,26177.0,25352.0,24325.0,22986.0,21846.0,21266.0,20789.0,20491.0,20587.0,21244.0,22427.0,24039.0,25137.0,24870.0,23946.0,22742.0,21727.0,21154.0,21145.0,21556.0,22414.0
23676.0,25988.0,26877.0,26337.0,25539.0,24499.0,23027.0,21695.0,20856.0,20351.0,20146.0,20279.0,20975.0,22519.0,24258.0,24935.0,24066.0,22523.0,21476.0,20958.0,20666.0,20642.0,20917.0,21778.0
23433.0,25279.0,26015.0,25436.0,24730.0,23853.0,22700.0,21568.0,20697.0,19989.0,19613.0,19567.0,19858.0,20610.0,21481.0,21632.0,21076.0,19981.0,18922.0,18139.0,17842.0,18031.0,18832.0,20036.0
21582.0,23724.0,24646.0,24213.0,23634.0,22783.0,21649.0,20618.0,19854.0,19237.0,18914.0,18872.0,19075.0,19622.0,20326.0,20364.0,19879.0,18946.0,17894.0,17324.0,17274.0,17733.0,18715.0,19849.0
21217.0,23017.0,23893.0,23618.0,23160.0,22307.0,21180.0,20100.0,19495.0,19064.0,19064.0,19373.0,20115.0,21515.0,23448.0,24444.0,24235.0,23050.0,21767.0,21113.0,21055.0,21276.0,22136.0,22948.0
24244.0,26097.0,26865.0,26205.0,25261.0,24155.0,22838.0,21576.0,20651.0,20025.0,19683.0,19727.0,20429.0,21932.0,23621.0,24900.0,25543.0,25321.0,24652.0,24012.0,23140.0,22674.0,22613.0,23313.0
24614.0,26387.0,27171.0,26478.0,25499.0,24239.0,22717.0,21406.0,20725.0,20272.0,20025.0,20019.0,20768.0,22263.0,23863.0,24524.0,23927.0,22798.0,21760.0,21064.0,20900.0,20923.0,21554.0,22152.0
23638.0,25605.0,26658.0,26188.0,25312.0,24161.0,22693.0,21329.0,20662.0,20191.0,19896.0,19981.0,20769.0,22370.0,24174.0,24649.0,24271.0,23563.0,23124.0,22874.0,22862.0,22952.0,23669.0,24345.0
25392.0,26614.0,27030.0,26295.0,25354.0,24155.0,22755.0,21525.0,20839.0,20165.0,19774.0,19851.0,20428.0,21596.0,23151.0,24037.0,23803.0,22916.0,21670.0,20853.0,20358.0,20047.0,20290.0,21267.0
22865.0,24929.0,25892.0,25308.0,24627.0,23725.0,22419.0,21241.0,20469.0,19740.0,19371.0,19316.0,19585.0,20061.0,20818.0,21102.0,21081.0,20946.0,20497.0,19779.0,18962.0,18582.0,19024.0,19858.0
21374.0,23564.0,24782.0,24480.0,23927.0,23083.0,21951.0,20829.0,19996.0,19399.0,19022.0,18888.0,19095.0,19607.0,20186.0,20365.0,20225.0,19432.0,19015.0,18751.0,18680.0,18994.0,19653.0,20128.0
